,X1,X1_1,Name,Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee_km,Apogee_km,Eccentricity,Inclination (degrees),Period (minutes),Launch,Dry,Power (watts),Date,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,launch_date,launch_year,Launch Year
304,305,305,Cloudsat,Cloudsat,USA,USA,National Aeronautics and Space Administration (NASA)/Colorado State University,Government/Civil,Earth Observation/Science,Radar Imaging,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,848,NA,570,4/28/06,2,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107,"Joins Aqua, Parasol, Aura, and Calipso in A-Train; meteorological satellite, carries single radar to obtain the reflectivity of clouds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/28/06,2006,2006
305,306,306,CMS-1 (GSAT 12R),CMS-1,NR (12/20),India,Indian Space Research Organization (ISRO),Government,Communication,NA,GEO,NA,78,35778,35795,0.000202,0.08,1436.1,1500,NA,NA,12/17/20,15,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV-XL,2020-099A,47256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/17/20,2020,2020
306,307,307,Compass-2 (QB50-DE04),Compass-2,Belgium,Germany,FH Aachen,Government/Civil,Navigation/Technology,NA,LEO,Sun-Synchronous,0,496,513,0.00124,97.45,94.6,5,NA,NA,6/23/17,NA,FH Aachen,Germany,Satish Dhawan Space Centre,PSLV,2017-036N,42777,Dragsail satellite - technology development.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/23/17,2017,2017
307,308,308,"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",COMS-1,South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation/Science,Optical Imaging/Meteorology,GEO,NA,128,35783,35791,9.49E-05,0.01,1436.1,2460,NA,NA,6/26/10,NA,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),South Korea,Guiana Space Center,Ariane 5 ECA,2010-032A,36744,"Multi-mission satellite with three payloads: one for meteorology, one for ocean observation and one for communications.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/26/10,2010,2010
308,309,309,COMSATBw-1 (COmmunications SATellite für BundesWehr),COMSATBw-1,Germany,Germany,Armed Forces,Military,Communication,NA,GEO,NA,63,35773,35799,0.000308,0.05,1436.1,2440,NA,"3,500",10/1/09,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-054B,35943,Germany's first military communications satellite.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/1/09,2009,2009
309,310,310,COMSATBw-2 (COmmunications SATellite für BundesWehr),COMSATBw-2,Germany,Germany,Armed Forces,Military,Communication,NA,GEO,NA,13.2,35780,35794,0.000166,0.08,1436.11,2440,NA,"3,500",5/21/10,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2010-021B,36582,"SHF (Super-High-Frequency), and UHF transponders (Ultra-High-Frequency).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/21/10,2010,2010
310,311,311,Condor E2,Condor E2,NR,South Africa,Armed Forces,Military,Earth Observation/Science,Radar Imaging,LEO,Polar,0,499,501,0.000146,74.75,94.62,NA,NA,NA,12/19/14,NA,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353,"Radar earth observation satellite built for, reportedly, the military of South Africa under Project Flute.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/19/14,2014,2014
311,312,312,Coriolis (Windsat),Coriolis,USA,USA,US Air Force/ US Navy/NASA,Military,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,820,841,0.00146,98.8,101.5,817,395,"1,174",1/6/03,3,"Spectrum Astro, Inc.",USA,Vandenberg AFB,Titan 2,2003-001A,27640,Monitor ocean winds and image Solar Mass Ejections (SME).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/6/03,2003,2003
312,313,313,CORVUS BC1 (Landmapper),CORVUS BC1,USA,USA,Astro Digital,Commercial,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,584,599,0.00108,97.5,96.5,10,NA,NA,7/12/17,NA,Astro Digital,USA,Baikonur Cosmodrome,Soyuz 2,2017-042X,42846,First of earth imaging constellation; color and infrared cameras for wide-area imaging.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/12/17,2017,2017
313,314,314,CORVUS BC2 (Landmapper),CORVUS BC2,USA,USA,Astro Digital,Commercial,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,584,598,0.00101,97.5,96.5,10,NA,NA,7/12/17,NA,Astro Digital,USA,Baikonur Cosmodrome,Soyuz 2,2017-042Y,42847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/12/17,2017,2017
314,315,315,CORVUS BC3 (Landmapper),CORVUS BC3,USA,USA,Astro Digital,Commercial,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,488,503,0.00109,94.4,96.5,10,NA,NA,1/12/18,NA,Astro Digital,USA,Satish Dhawan Space Centre,PSLV,2018-004H,43118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/12/18,2018,2018
315,316,316,CORVUS BC4 (Landmapper),CORVUS BC4,USA,USA,Astro Digital,Commercial,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,576,591,0.00108,97.7,96.5,10,NA,NA,12/3/18,NA,Astro Digital,USA,Vandenberg AFB,Falcon 9,2018-099K,43767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/18,2018,2018
316,317,317,CORVUS BC5 (Landmapper),CORVUS BC5,NR (12/20),USA,Astro Digital,Commercial,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,495,509,0.00102,97.3,96.5,10,NA,NA,11/20/20,NA,Astro Digital,USA,Rocket Lab Launch Complex 1,Electron,2020-085C,46931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/20/20,2020,2020
317,318,318,"COSMIC 2-1 (COSMIC FM-1, Formosat 7A)",COSMIC 2-1,NR,Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation/Science,Meteorology,LEO,Non-Polar Inclined,0,709,721,0.000847,24,99,280,NA,NA,6/25/19,5,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Falcon Heavy,2019-036L,44349,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
318,319,319,"COSMIC 2-2 (COSMIC FM-2, Formosat 7B)",COSMIC 2-2,NR,Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation/Science,Meteorology,LEO,Non-Polar Inclined,0,710,724,0.000988,24,99,280,NA,NA,6/25/19,5,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Falcon Heavy,2019-036N,44351,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
319,320,320,"COSMIC 2-3 (COSMIC FM-3, Formosat 7C)",COSMIC 2-3,NR,Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation/Science,Meteorology,LEO,Non-Polar Inclined,0,708,724,0.00113,24,99,280,NA,NA,6/25/19,5,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Falcon Heavy,2019-036E,44343,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
320,321,321,"COSMIC 2-4 (COSMIC FM-4, Formosat 7D)",COSMIC 2-4,NR,Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation/Science,Meteorology,LEO,Non-Polar Inclined,0,710,724,0.000988,24,99,280,NA,NA,6/25/19,5,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Falcon Heavy,2019-036M,44350,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
321,322,322,"COSMIC 2-5 (COSMIC FM-5, Formosat 7E)",COSMIC 2-5,NR,Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation/Science,Meteorology,LEO,Non-Polar Inclined,0,709,724,0.00106,24,99,280,NA,NA,6/25/19,5,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Falcon Heavy,2019-036V,44358,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
322,323,323,"COSMIC 2-6 (COSMIC FM-6, Formosat 7F)",COSMIC 2-6,NR,Taiwan/USA,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation/Science,Meteorology,LEO,Non-Polar Inclined,0,708,724,0.00113,24,99,280,NA,NA,6/25/19,5,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Falcon Heavy,2019-036Q,44353,"Collect atmospheric data for weather prediction and for ionosphere, climate and gravity research.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/25/19,2019,2019
323,324,324,"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-A,NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation/Science,Meteorology,LEO,Polar,0,764,836,0.00502,72,100.9,70,NA,46,4/15/06,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011A,29047,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/15/06,2006,2006
324,325,325,"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-B,NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation/Science,Meteorology,LEO,Polar,0,769,831,0.00432,72,100.9,70,NA,46,4/15/06,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011B,29048,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/15/06,2006,2006
325,326,326,"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-D,NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation/Science,Meteorology,LEO,Polar,0,669,746,0.00544,72,98.9,70,NA,46,4/15/06,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011D,29050,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/15/06,2006,2006
326,327,327,"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-E,NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation/Science,Meteorology,LEO,Polar,0,751,849,0.00683,72,100.9,70,NA,46,4/15/06,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011E,29051,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/15/06,2006,2006
327,328,328,"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-F,NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation/Science,Meteorology,LEO,Polar,0,772,828,0.00391,72,100.9,70,NA,46,4/15/06,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,2006-011F,29052,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/15/06,2006,2006
328,329,329,Cosmos 2504,Cosmos 2504,Russia,Russia,Ministry of Defense,Military,Navigation/Technology,NA,LEO,Polar,0,1171,1504,0.0216,82.4,112.41,NA,NA,NA,3/31/15,NA,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020D,40555,Unknown purpose; displays high maneuverability.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/31/15,2015,2015
329,330,330,Cosmos 2519 (Napryazhenie No. 1?),Cosmos 2519,Russia,Russia,Ministry of Defense,Military,Space Observation/Science,NA,LEO,Sun-Synchronous,0,653,668,0.00107,98,97.9,NA,NA,NA,6/23/17,NA,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037A,42798,"Designed to make extremely accurate measurements of Earth’s shape and gravitational field. Two months after launch released a small ""inspector satellite."" Made clear it would only inspect its host satellite.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/23/17,2017,2017
330,331,331,Cosmos 2535,Cosmos 2535,Russia,Russia,Ministry of Defense,Military,Navigation/Technology,NA,LEO,Sun-Synchronous,0,610,621,0.000787,97.9,97,NA,NA,NA,7/10/19,NA,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2019-039A,44421,Conducted a series of proximity maneuvers on-orbit.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/10/19,2019,2019
331,332,332,Cosmos 2536,Cosmos 2536,Russia,Russia,Ministry of Defense,Military,Navigation/Technology,NA,LEO,Sun-Synchronous,0,610,622,0.000859,97.9,97,NA,NA,NA,7/10/19,NA,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2019-039D,44424,Conducted a series of proximity maneuvers on-orbit.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/10/19,2019,2019
332,333,333,Cosmos 2542,Cosmos 2542,Russia,Russia,Ministry of Defense,Military,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,368,856,0.0349,97.9,96.9,NA,NA,NA,11/25/19,NA,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2019-079A,44797,Believed to be surveillance satellite - released subsatellite thought to be an inspector - Cosmos 2543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/19,2019,2019
333,334,334,Cosmos 2543,Cosmos 2543,Russia,Russia,Ministry of Defense,Military,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,368,856,0.0349,97.9,96.9,NA,NA,NA,11/25/19,NA,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2019-079D,44835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/19,2019,2019
334,335,335,Cosmos 3537,Cosmos 2537,Russia,Russia,Ministry of Defense,Military,Navigation/Technology,NA,LEO,Sun-Synchronous,0,611,623,0.000859,97.9,97,NA,NA,NA,7/10/19,NA,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2019-039B,44422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/10/19,2019,2019
335,336,336,Cosmos 3538,Cosmos2538,Russia,Russia,Ministry of Defense,Military,Navigation/Technology,NA,LEO,Sun-Synchronous,0,616,623,0.000501,97.9,97,NA,NA,NA,7/10/19,NA,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2019-039C,44423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/10/19,2019,2019
336,337,337,COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 1,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Civil,Earth Observation/Science,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,NA,"3,600",6/8/07,5,Thales Alenia Space,France/Italy,Vandenberg AFB,Delta 7000,2007-023A,31598,"To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/8/07,2007,2007
337,338,338,COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 2,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation/Science,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,NA,NA,12/9/07,5,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2007-059A,32376,Earth imaging; synthetic aperture radar (SAR) operating in X-band.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/9/07,2007,2007
338,339,339,COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 3,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation/Science,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,NA,NA,10/25/08,5,Thales Alenia Space,Italy,Vandenberg AFB,Delta 7420,2008-054A,33412,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/25/08,2008,2008
339,340,340,COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 4,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation/Science,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,NA,NA,11/6/10,5,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2010-060A,37216,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/6/10,2010,2010
340,341,341,CP-10 (Exocube),CP-10,NR,USA,California Polytechnic State University/NASA JPL,Government/Civil,Earth Observation/Science,Earth Science,LEO,Elliptical,0,441,657,0.0156,99.1,95.6,4,NA,NA,1/31/15,NA,California Polytechnic University/NASA JPL,USA,Vandenberg AFB,Delta 2,2015-003E,40380,Measuring the Elemental Composition of the Exosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/31/15,2015,2015
341,342,342,CryoCube-1 (CC-1),CryoCube-1,USA,USA,NASA Kennedy Space Center,Government,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,405,415,0.000737,51.6,92.8,5,NA,NA,2/19/20,NA,NASA Kennedy Space Center/Sierra Lobo Inc.,USA,International Space Station,Nanorack Deployer,1998-067RD,45260,Development of thermal management technology.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/19/20,2020,2020
342,343,343,Cryosat-2,Cryosat-2,ESA,ESA,European Space Agency (ESA),Government,Earth Observation/Science,Radar Imaging,LEO,Polar,0,713,724,0.000776,92,99.2,720,NA,NA,4/8/10,3,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-013A,36508,"Remote sensing, part of ESA's ice mission. Will measure polar ice for three years. Spacecraft has no solar panels.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/8/10,2010,2010
343,344,344,CSG-1 (COSMO-SkyMed Second Generation),CSG-1,NR (12/20),Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation/Science,Radar Imaging,LEO,Sun-Synchronous,0,621,622,7.15E-05,97.8,97.1,2205,NA,NA,12/18/19,5,Thales Alenia Space,Italy,Guiana Space Center,Soyuz,2019-092A,44873,Second generation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/18/19,2019,2019
344,345,345,CSIM-FD (Compact Spectral Irradiance Monitor - Flight Demonstration),CSIM-FD,NR,USA,University of Colorado,Civil,Space Observation/Science,NA,LEO,Sun-Synchronous,0,573,590,0.00122,97.7,96.3,6,NA,NA,12/3/18,NA,Blue Canyon Technologies,USA,Vandenberg AFB,Falcon 9,2018-099AM,43793,Space science.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/18,2018,2018
345,346,346,CSO-1 (Optical Space Component-1),CSO-1,France,France,Directorate General of Armaments (DGA),Military,Earth Observation/Science,Multi-Spectral Imaging,LEO,Sun-Synchronous,0,800,800,0,98.6,100.87,3565,NA,NA,12/19/18,10,Centre National D'études Spatiales (CNES),France,Guiana Space Center,Soyuz,2018-106A,43866,"Part of the MUSIS (Multinational Space-based Imaging System) programme, is resolutely open to European partnerships through bilateral agreements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/19/18,2018,2018
346,347,347,CSO-2 (Optical Space Component-2),CSO-2,NR (12/20),France,Directorate General of Armaments (DGA),Military,Earth Observation/Science,Multi-Spectral Imaging,LEO,Sun-Synchronous,0,480,480,0,97.3,94,3565,NA,NA,12/28/20,10,Centre National D'études Spatiales (CNES),France,Guiana Space Center,Soyuz,2020-104A,47305,Exactly the same as COS-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/28/20,2020,2020
347,348,348,"Cubebug 2 (Manolito, LO-74)",Cubebug 2,NR,Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Civil,Navigation/Technology,NA,LEO,Sun-Synchronous,0,594,715,0.00861,97.8,97.8,2,NA,NA,11/21/13,NA,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440,Amateur radio satellite.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/21/13,2013,2013
