Country,Purpose,Count,Proportion 
Japan,Space Observation/Science,3,0.037
Japan,Surveillance,0,0
Jordan,Communication,1,1
Jordan,Earth Observation/Science,0,0
Jordan,Other,0,0
Jordan,Navigation/Technology,0,0
Jordan,Space Observation/Science,0,0
Jordan,Surveillance,0,0
Kazakhstan,Communication,2,0.333
Kazakhstan,Earth Observation/Science,3,0.5
Kazakhstan,Other,0,0
Kazakhstan,Navigation/Technology,1,0.167
Kazakhstan,Space Observation/Science,0,0
Kazakhstan,Surveillance,0,0
Laos,Communication,1,1
Laos,Earth Observation/Science,0,0
Laos,Other,0,0
Laos,Navigation/Technology,0,0
Laos,Space Observation/Science,0,0
Laos,Surveillance,0,0
Lithuania,Communication,0,0
Lithuania,Earth Observation/Science,0,0
Lithuania,Other,0,0
Lithuania,Navigation/Technology,3,1
Lithuania,Space Observation/Science,0,0
Lithuania,Surveillance,0,0
Luxembourg,Communication,32,0.889
Luxembourg,Earth Observation/Science,4,0.111
Luxembourg,Other,0,0
Luxembourg,Navigation/Technology,0,0
Luxembourg,Space Observation/Science,0,0
Luxembourg,Surveillance,0,0
Malaysia,Communication,3,0.6
Malaysia,Earth Observation/Science,1,0.2
Malaysia,Other,0,0
Malaysia,Navigation/Technology,1,0.2
Malaysia,Space Observation/Science,0,0
Malaysia,Surveillance,0,0
Mexico,Communication,3,0.75
Mexico,Earth Observation/Science,1,0.25
Mexico,Other,0,0
Mexico,Navigation/Technology,0,0
Mexico,Space Observation/Science,0,0
Mexico,Surveillance,0,0
Morocco,Communication,0,0
Morocco,Earth Observation/Science,2,1
Morocco,Other,0,0
Morocco,Navigation/Technology,0,0
Morocco,Space Observation/Science,0,0
Morocco,Surveillance,0,0
Multinational,Communication,47,0.746
Multinational,Earth Observation/Science,7,0.111
Multinational,Other,0,0
Multinational,Navigation/Technology,0,0
Multinational,Space Observation/Science,9,0.143
Multinational,Surveillance,0,0
Nepal,Communication,0,0
Nepal,Earth Observation/Science,1,1
Nepal,Other,0,0
Nepal,Navigation/Technology,0,0
Nepal,Space Observation/Science,0,0
Nepal,Surveillance,0,0
Netherlands,Communication,8,0.667
Netherlands,Earth Observation/Science,0,0
Netherlands,Other,0,0
Netherlands,Navigation/Technology,4,0.333
Netherlands,Space Observation/Science,0,0
Netherlands,Surveillance,0,0
Nigeria,Communication,1,0.333
Nigeria,Earth Observation/Science,2,0.667
Nigeria,Other,0,0
Nigeria,Navigation/Technology,0,0
Nigeria,Space Observation/Science,0,0
Nigeria,Surveillance,0,0
Norway,Communication,5,0.714
Norway,Earth Observation/Science,2,0.286
Norway,Other,0,0
Norway,Navigation/Technology,0,0
Norway,Space Observation/Science,0,0
Norway,Surveillance,0,0
Pakistan,Communication,1,0.333
Pakistan,Earth Observation/Science,2,0.667
Pakistan,Other,0,0
Pakistan,Navigation/Technology,0,0
Pakistan,Space Observation/Science,0,0
Pakistan,Surveillance,0,0
Peru,Communication,0,0
Peru,Earth Observation/Science,1,1
Peru,Other,0,0
Peru,Navigation/Technology,0,0
Peru,Space Observation/Science,0,0
Peru,Surveillance,0,0
Philippines,Communication,0,0
Philippines,Earth Observation/Science,2,1
Philippines,Other,0,0
Philippines,Navigation/Technology,0,0
Philippines,Space Observation/Science,0,0
Philippines,Surveillance,0,0
Poland,Communication,0,0
Poland,Earth Observation/Science,1,0.5
Poland,Other,0,0
Poland,Navigation/Technology,1,0.5
Poland,Space Observation/Science,0,0
Poland,Surveillance,0,0
Qatar,Communication,1,1
Qatar,Earth Observation/Science,0,0
Qatar,Other,0,0
Qatar,Navigation/Technology,0,0
Qatar,Space Observation/Science,0,0
Qatar,Surveillance,0,0
Russia,Communication,87,0.5
Russia,Earth Observation/Science,34,0.195
Russia,Other,0,0
Russia,Navigation/Technology,44,0.253
Russia,Space Observation/Science,9,0.052
Russia,Surveillance,0,0
Saudi Arabia,Communication,6,0.462
Saudi Arabia,Earth Observation/Science,4,0.308
Saudi Arabia,Other,0,0
Saudi Arabia,Navigation/Technology,2,0.154
Saudi Arabia,Space Observation/Science,1,0.077
Saudi Arabia,Surveillance,0,0
Singapore,Communication,0,0
Singapore,Earth Observation/Science,3,0.375
Singapore,Other,0,0
Singapore,Navigation/Technology,4,0.5
Singapore,Space Observation/Science,1,0.125
Singapore,Surveillance,0,0
Slovenia,Communication,0,0
Slovenia,Earth Observation/Science,1,0.5
Slovenia,Other,0,0
Slovenia,Navigation/Technology,1,0.5
Slovenia,Space Observation/Science,0,0
Slovenia,Surveillance,0,0
South Africa,Communication,0,0
South Africa,Earth Observation/Science,2,0.667
South Africa,Other,0,0
South Africa,Navigation/Technology,1,0.333
South Africa,Space Observation/Science,0,0
South Africa,Surveillance,0,0
South Korea,Communication,5,0.294
South Korea,Earth Observation/Science,7,0.412
South Korea,Other,0,0
South Korea,Navigation/Technology,4,0.235
South Korea,Space Observation/Science,1,0.059
South Korea,Surveillance,0,0
Spain,Communication,13,0.619
Spain,Earth Observation/Science,5,0.238
Spain,Other,0,0
Spain,Navigation/Technology,3,0.143
Spain,Space Observation/Science,0,0
Spain,Surveillance,0,0
Sri Lanka,Communication,0,0
Sri Lanka,Earth Observation/Science,1,1
Sri Lanka,Other,0,0
Sri Lanka,Navigation/Technology,0,0
Sri Lanka,Space Observation/Science,0,0
Sri Lanka,Surveillance,0,0
Sudan,Communication,0,0
Sudan,Earth Observation/Science,1,1
Sudan,Other,0,0
Sudan,Navigation/Technology,0,0
Sudan,Space Observation/Science,0,0
Sudan,Surveillance,0,0
Sweden,Communication,1,0.5
Sweden,Earth Observation/Science,1,0.5
Sweden,Other,0,0
Sweden,Navigation/Technology,0,0
Sweden,Space Observation/Science,0,0
Sweden,Surveillance,0,0
Switzerland,Communication,2,0.4
Switzerland,Earth Observation/Science,0,0
Switzerland,Other,0,0
Switzerland,Navigation/Technology,2,0.4
Switzerland,Space Observation/Science,1,0.2
Switzerland,Surveillance,0,0
Taiwan,Communication,0,0
Taiwan,Earth Observation/Science,1,1
Taiwan,Other,0,0
Taiwan,Navigation/Technology,0,0
Taiwan,Space Observation/Science,0,0
Taiwan,Surveillance,0,0
Thailand,Communication,4,0.667
Thailand,Earth Observation/Science,2,0.333
Thailand,Other,0,0
Thailand,Navigation/Technology,0,0
Thailand,Space Observation/Science,0,0
Thailand,Surveillance,0,0
Turkey,Communication,3,0.429
Turkey,Earth Observation/Science,3,0.429
Turkey,Other,0,0
Turkey,Navigation/Technology,1,0.143
Turkey,Space Observation/Science,0,0
Turkey,Surveillance,0,0
Turkmenistan/Monaco,Communication,1,1
Turkmenistan/Monaco,Earth Observation/Science,0,0
Turkmenistan/Monaco,Other,0,0
Turkmenistan/Monaco,Navigation/Technology,0,0
Turkmenistan/Monaco,Space Observation/Science,0,0
Turkmenistan/Monaco,Surveillance,0,0
Ukraine,Communication,0,0
Ukraine,Earth Observation/Science,0,0
Ukraine,Other,0,0
Ukraine,Navigation/Technology,1,1
Ukraine,Space Observation/Science,0,0
Ukraine,Surveillance,0,0
United Arab Emirates,Communication,6,0.6
United Arab Emirates,Earth Observation/Science,4,0.4
United Arab Emirates,Other,0,0
United Arab Emirates,Navigation/Technology,0,0
United Arab Emirates,Space Observation/Science,0,0
United Arab Emirates,Surveillance,0,0
UK,Communication,151,0.91
UK,Earth Observation/Science,6,0.036
UK,Other,0,0
UK,Navigation/Technology,9,0.054
UK,Space Observation/Science,0,0
UK,Surveillance,0,0
USA,Communication,1252,0.667
USA,Earth Observation/Science,413,0.22
USA,Other,8,0.004
USA,Navigation/Technology,162,0.086
USA,Space Observation/Science,40,0.021
USA,Surveillance,3,0.002
Venezuela,Communication,0,0
Venezuela,Earth Observation/Science,2,1
Venezuela,Other,0,0
Venezuela,Navigation/Technology,0,0
Venezuela,Space Observation/Science,0,0
Venezuela,Surveillance,0,0
Vietnam,Communication,2,0.5
Vietnam,Earth Observation/Science,2,0.5
Vietnam,Other,0,0
Vietnam,Navigation/Technology,0,0
Vietnam,Space Observation/Science,0,0
Vietnam,Surveillance,0,0
Global,Communication,1831,0.541
Global,Earth Observation/Science,926,0.274
Global,Navigation/Technology,510,0.151
Global,Space Observation/Science,104,0.031
Global,Surveillance,3,0.001
Global,Other,9,0.003
